SRC	TRG	PINYIN_STR	PINYIN_CHAR
d a k o t a h	达 科 塔	da ke ta	d a k e t a
b o r e l	博 雷 尔	bo lei er	b o l e i e r
r o b b i o	罗 比 奥	luo bi ao	l u o b i a o
g o u l a r d	戈 拉 德	ge la de	g e l a d e
m o r r i s e y	莫 里 西	mo li xi	m o l i x i
s c h l a u d e m a n n	施 劳 德 曼	shi lao de man	s h i l a o d e m a n
o s n o s	奥 斯 诺 斯	ao si nuo si	a o s i n u o s i
g u i n a r d	吉 纳 德	ji na de	j i n a d e
h o r d e r n	霍 登	huo deng	h u o d e n g
m a c n e i l l	麦 克 尼 尔	mai ke ni er	m a i k e n i e r
b r a n i g a n	布 兰 尼 根	bu lan ni gen	b u l a n n i g e n
p a l m i t e r	帕 尔 米 特	pa er mi te	p a e r m i t e
k a i t l y n n	凯 特 琳	kai te lin	k a i t e l i n
h e i m b e r g e r	亨 伯 格	heng bo ge	h e n g b o g e
c h e r v o k a s	彻 沃 卡 斯	che wo ka si	c h e w o k a s i
c a m	卡 姆	ka mu	k a m u
g i e r s b a c h	吉 尔 斯 巴 赫	ji er si ba he	j i e r s i b a h e
e a s t o n	伊 斯 顿	yi si dun	y i s i d u n
h o b e r t	霍 伯 特	huo bo te	h u o b o t e
l u m	卢 姆	lu mu	l u m u
k a l l i e	凯 莉	kai li	k a i l i
j o y a l	乔 亚 尔	qiao ya er	q i a o y a e r
l i n g a y	林 吉	lin ji	l i n j i
f r i s b e e	弗 里 斯 比	fu li si bi	f u l i s i b i
h e f f e l f i n g e r	赫 弗 尔 芬 格	he fu er fen ge	h e f u e r f e n g e
g e o f f	杰 夫	jie fu	j i e f u
r a m b a u t	兰 博	lan bo	l a n b o
k e t t l e s o n	凯 特 尔 森	kai te er sen	k a i t e e r s e n
g e b h a r d	格 布 哈 特	ge bu ha te	g e b u h a t e
d i m i c k	迪 米 克	di mi ke	d i m i k e
m e r e w e a t h e r	梅 里 韦 瑟	mei li wei se	m e i l i w e i s e
n u n e z	努 涅 斯	nu nie si	n u n i e s i
p i n e d a	皮 内 达	pi nei da	p i n e i d a
c a s s e r e s	卡 塞 雷 斯	ka sai lei si	k a s a i l e i s i
d i v e r s e y	戴 弗 西	dai fu xi	d a i f u x i
r a s p b e r r y	拉 斯 伯 里	la si bo li	l a s i b o l i
k l u d	克 卢 德	ke lu de	k e l u d e
e a s l i c k	伊 斯 利 克	yi si li ke	y i s i l i k e
o s t e r b e r g	奥 斯 特 伯 格	ao si te bo ge	a o s i t e b o g e
m c r e y n o l d s	麦 克 雷 诺 兹	mai ke lei nuo zi	m a i k e l e i n u o z i
l a b b e r t o n	拉 伯 顿	la bo dun	l a b o d u n
g a r m o n	加 尔 蒙	jia er meng	j i a e r m e n g
k o d a k	柯 达	ke da	k e d a
b o r y s e w i c z	博 里 塞 维 奇	bo li sai wei qi	b o l i s a i w e i q i
m o o s a	穆 萨	mu sa	m u s a
f a i r l a m b	费 尔 兰	fei er lan	f e i e r l a n
a r m s t r o n g	阿 姆 斯 特 朗	a mu si te lang	a m u s i t e l a n g
t w e d d e l	特 威 德 尔	te wei de er	t e w e i d e e r
d o u g l a s s	道 格 拉 斯	dao ge la si	d a o g e l a s i
b o d a n s k y	博 丹 斯 基	bo dan si ji	b o d a n s i j i
r i p m a n	里 普 曼	li pu man	l i p u m a n
p u p p a	普 帕	pu pa	p u p a
b u n n	邦 恩	bang en	b a n g e n
k e i l a	凯 拉	kai la	k a i l a
c a l c a g n i	卡 尔 卡 尼	ka er ka ni	k a e r k a n i
p i r e t	皮 雷	pi lei	p i l e i
h a m o n d	哈 蒙 德	ha meng de	h a m e n g d e
f o t i	福 蒂	fu di	f u d i
b e n d i x e n	本 迪 克 森	ben di ke sen	b e n d i k e s e n
b e g h i n	贝 金	bei jin	b e i j i n
n i s b e t t	尼 斯 比 特	ni si bi te	n i s i b i t e
a d n e y	埃 德 尼	ai de ni	a i d e n i
g a u g l e r	高 格 勒	gao ge le	g a o g e l e
t y z z e r	泰 泽	tai ze	t a i z e
g r a v e s	格 雷 夫 斯	ge lei fu si	g e l e i f u s i
m c d o n o u g h	麦 克 多 诺	mai ke duo nuo	m a i k e d u o n u o
m u s t o	马 斯 托	ma si tuo	m a s i t u o
t i n b e r g e n	廷 伯 根	ting bo gen	t i n g b o g e n
a v i t y	阿 维 蒂	a wei di	a w e i d i
d o w s e t t	多 塞 特	duo sai te	d u o s a i t e
a d l m a n n	阿 德 尔 曼	a de er man	a d e e r m a n
h a z u r	哈 祖 尔	ha zu er	h a z u e r
t o r c z y n e r	托 齐 纳	tuo qi na	t u o q i n a
c o p p e r w e l d	科 珀 韦 尔 德	ke po wei er de	k e p o w e i e r d e
b a r r a s	巴 拉 斯	ba la si	b a l a s i
c o p s o n	科 普 森	ke pu sen	k e p u s e n
s w i t k a y	斯 威 凯	si wei kai	s i w e i k a i
w y e r	怀 尔	huai er	h u a i e r
t r o e n	特 伦	te lun	t e l u n
m c k e a r n	麦 基 尔 恩	mai ji er en	m a i j i e r e n
q u i l l i n	奎 林	kui lin	k u i l i n
l u c i e	露 西	lu xi	l u x i
g e a u s s e n t	若 桑	ruo sang	r u o s a n g
m a r o u n	马 龙	ma long	m a l o n g
s a y n t e s	塞 恩 茨	sai en ci	s a i e n c i
s n e y d	斯 尼 德	si ni de	s i n i d e
m c e l m u r r y	麦 克 尔 默 里	mai ke er mo li	m a i k e e r m o l i
m a s h b u r n	马 什 伯 恩	ma shi bo en	m a s h i b o e n
s y m o n s	西 蒙 斯	xi meng si	x i m e n g s i
f r e n e y	弗 雷 尼	fu lei ni	f u l e i n i
c h e l m i c k	切 尔 米 克	qie er mi ke	q i e e r m i k e
b u r l i n g a m e	伯 林 盖 姆	bo lin gai mu	b o l i n g a i m u
g u s t l i n	古 斯 特 林	gu si te lin	g u s i t e l i n
k e e n s	金 斯	jin si	j i n s i
k a r l i k	卡 利 克	ka li ke	k a l i k e
m a r s e e	马 西	ma xi	m a x i
c r o c k w e l l	克 罗 克 韦 尔	ke luo ke wei er	k e l u o k e w e i e r
s i n s t a d t	辛 斯 塔 特	xin si ta te	x i n s i t a t e
b r y n e s	布 赖 恩 斯	bu lai en si	b u l a i e n s i
c o n i n g s b y	科 宁 斯 比	ke ning si bi	k e n i n g s i b i
p l i m p t o n	普 林 顿	pu lin dun	p u l i n d u n
l i s a	莉 萨	li sa	l i s a
w i l l m o t t	威 尔 莫 特	wei er mo te	w e i e r m o t e
d o u g h e r t y	多 尔 蒂	duo er di	d u o e r d i
t y q u a n	泰 坎	tai kan	t a i k a n
t a r d y	塔 迪	ta di	t a d i
m a t h i a s e n	马 赛 厄 森	ma sai e sen	m a s a i e s e n
a n s l e y	安 斯 利	an si li	a n s i l i
d i l a u r o	迪 劳 罗	di lao luo	d i l a o l u o
b l a i s e	布 莱 斯	bu lai si	b u l a i s i
k i l l y	基 利	ji li	j i l i
j a n i s c h	杰 尼 施	jie ni shi	j i e n i s h i
f a i g l e	费 格 尔	fei ge er	f e i g e e r
c a s a l s	卡 萨 尔 斯	ka sa er si	k a s a e r s i
a i l m a r	艾 尔 默	ai er mo	a i e r m o
p a r m a l e e	帕 马 利	pa ma li	p a m a l i
w i c k m a n	威 克 曼	wei ke man	w e i k e m a n
w h i t m i r e	惠 特 迈 尔	hui te mai er	h u i t e m a i e r
z i m e t	齐 梅 特	qi mei te	q i m e i t e
c r a w f u r d	克 劳 弗 德	ke lao fu de	k e l a o f u d e
c r o m e r	克 罗 默	ke luo mo	k e l u o m o
g i d w i t z	吉 德 维 茨	ji de wei ci	j i d e w e i c i
g e r o l	盖 罗 尔	gai luo er	g a i l u o e r
j e d e d i a h	杰 迪 代 亚	jie di dai ya	j i e d i d a i y a
d u g m o r e	达 格 莫 尔	da ge mo er	d a g e m o e r
h o l t	霍 尔 特	huo er te	h u o e r t e
h u g u e t	休 格 特	xiu ge te	x i u g e t e
s t a y n e r	斯 泰 纳	si tai na	s i t a i n a
c h a l o n e r	查 洛 纳	cha luo na	c h a l u o n a
w e a t h e r r e d	韦 瑟 雷 德	wei se lei de	w e i s e l e i d e
s h u l l e n b e r g e r	舒 伦 伯 格	shu lun bo ge	s h u l u n b o g e
f o r s y t h e	福 赛 思	fu sai si	f u s a i s i
a u c h m u t y	奥 克 缪 蒂	ao ke mou di	a o k e m o u d i
l i n d e m a n	林 德 曼	lin de man	l i n d e m a n
r o n e y	罗 尼	luo ni	l u o n i
j e r g e n s	杰 根 斯	jie gen si	j i e g e n s i
d i r k s e n	德 克 森	de ke sen	d e k e s e n
p r i s k	普 里 斯 克	pu li si ke	p u l i s i k e
t r e w h i t t	特 里 惠 特	te li hui te	t e l i h u i t e
b e a s t o n	比 斯 顿	bi si dun	b i s i d u n
g r u n o w	格 鲁 诺	ge lu nuo	g e l u n u o
s h u r c l i f f	舒 克 利 夫	shu ke li fu	s h u k e l i f u
u l i s e s	尤 利 西 斯	you li xi si	y o u l i x i s i
m e r i w e t h e r	梅 里 韦 瑟	mei li wei se	m e i l i w e i s e
j o h a n n s e n	约 翰 森	yue han sen	y u e h a n s e n
h u b b s	哈 布 斯	ha bu si	h a b u s i
m o s c o v	莫 斯 科 夫	mo si ke fu	m o s i k e f u
a l a r c o n	阿 拉 孔	a la kong	a l a k o n g
k o e l s c h	凯 尔 奇	kai er qi	k a i e r q i
g o l d e r	戈 尔 德	ge er de	g e e r d e
b r e w a r d	布 鲁 沃 德	bu lu wo de	b u l u w o d e
m o e l w y n	莫 尔 温	mo er wen	m o e r w e n
s c o f i e l d	斯 科 菲 尔 德	si ke fei er de	s i k e f e i e r d e
a b t h o r p e	阿 布 索 普	a bu suo pu	a b u s u o p u
t a m p e l l	坦 佩 尔	tan pei er	t a n p e i e r
f a n e u i l	法 纳 尔	fa na er	f a n a e r
y o u n g s	扬 斯	yang si	y a n g s i
a b b o u d	阿 布 德	a bu de	a b u d e
r i c	里 克	li ke	l i k e
m o u n c e r	芒 瑟	mang se	m a n g s e
m a r l i n	马 林	ma lin	m a l i n
k a y l e e	凯 莉	kai li	k a i l i
d e r l y n	德 林	de lin	d e l i n
b r a d l a w	布 拉 德 洛	bu la de luo	b u l a d e l u o
w o r n o m	沃 诺 姆	wo nuo mu	w o n u o m u
d e a c h m a n	迪 奇 曼	di qi man	d i q i m a n
d u m o n t	杜 蒙	du meng	d u m e n g
g l i n d e m a n	格 林 德 曼	ge lin de man	g e l i n d e m a n
l i p s c o m b	利 普 斯 科 姆	li pu si ke mu	l i p u s i k e m u
m a k i l l	马 基 尔	ma ji er	m a j i e r
p e p p l e r	佩 普 勒	pei pu le	p e i p u l e
m i d d l e t o n	米 德 尔 顿	mi de er dun	m i d e e r d u n
h e l l e r s	赫 勒 斯	he le si	h e l e s i
p i r s k o	皮 尔 斯 科	pi er si ke	p i e r s i k e
m c k o n e	麦 科 恩	mai ke en	m a i k e e n
e t h e r r i d g e	埃 瑟 里 奇	ai se li qi	a i s e l i q i
d a e l e y	戴 利	dai li	d a i l i
d o l g i n	多 尔 金	duo er jin	d u o e r j i n
g o l t z	戈 尔 茨	ge er ci	g e e r c i
j e a n a	珍 娜	zhen na	z h e n n a
h a w s	霍 斯	huo si	h u o s i
d o n a t o	多 纳 托	duo na tuo	d u o n a t u o
h a r d y m a n	哈 迪 曼	ha di man	h a d i m a n
l i t t e l l	利 特 尔	li te er	l i t e e r
o d a l i s	奥 达 莉 斯	ao da li si	a o d a l i s i
d o d s l e y	多 兹 利	duo zi li	d u o z i l i
a u g e r	奥 格	ao ge	a o g e
b o n j o u r	邦 茹	bang ru	b a n g r u
b e l m o r e	贝 尔 莫 尔	bei er mo er	b e i e r m o e r
c a i t l y n n	凯 特 琳	kai te lin	k a i t e l i n
t h i v i e r g e	西 维 尔 奇	xi wei er qi	x i w e i e r q i
d a k y n s	戴 金 斯	dai jin si	d a i j i n s i
m o d z e l e s k i	莫 泽 莱 斯 基	mo ze lai si ji	m o z e l a i s i j i
p r e s t o p i n o	普 雷 斯 托 皮 诺	pu lei si tuo pi nuo	p u l e i s i t u o p i n u o
h e l f e n s t e i n	赫 尔 芬 斯 坦	he er fen si tan	h e e r f e n s i t a n
c r a w l e y	克 劳 利	ke lao li	k e l a o l i
g l e a d o w e	格 莱 多	ge lai duo	g e l a i d u o
h e t t l e m a n	赫 特 尔 曼	he te er man	h e t e e r m a n
t r e x l e r	特 雷 克 斯 勒	te le ke si le	t e l e k e s i l e
j e m m y	杰 米	jie mi	j i e m i
n e a r s	尼 尔 斯	ni er si	n i e r s i
e v a n g e l i s t a	埃 万 杰 利 斯 塔	ai wan jie li si ta	a i w a n j i e l i s i t a
b e r s h a d	伯 沙 德	bo sha de	b o s h a d e
b o l d e r o	博 尔 德 罗	bo er de luo	b o e r d e l u o
m o x o n	莫 克 森	mo ke sen	m o k e s e n
b i s h t o n	比 什 顿	bi shi dun	b i s h i d u n
b r i s t o w	布 里 斯 托	bu li si tuo	b u l i s i t u o
b u t t r i c k	巴 特 里 克	ba te li ke	b a t e l i k e
c o w g i e l	考 吉 尔	kao ji er	k a o j i e r
m e l d r u m	梅 尔 德 伦	mei er de lun	m e i e r d e l u n
c a u d r y	考 德 里	kao de li	k a o d e l i
t h e r n s t r o m	特 恩 斯 特 伦	te en si te lun	t e e n s i t e l u n
d e n g a t e	登 盖 特	deng gai te	d e n g g a i t e
w o o d d	伍 德	wu de	w u d e
g e r s h	格 什	ge shi	g e s h i
b e l o t e	贝 洛 特	bei luo te	b e i l u o t e
s c h o m b u r g k	尚 伯 克	shang bo ke	s h a n g b o k e
p r o c k t o r	普 罗 克 特	pu luo ke te	p u l u o k e t e
b e t t e r t o n	贝 特 顿	bei te dun	b e i t e d u n
f r i e d l i c h	弗 里 德 利 克	fu li de li ke	f u l i d e l i k e
g u m a e r	古 梅 尔	gu mei er	g u m e i e r
f e n s t e r s t o c k	芬 斯 特 斯 托 克	fen si te si tuo ke	f e n s i t e s i t u o k e
a y l w e n	艾 尔 温	ai er wen	a i e r w e n
g a m a l i e l	加 梅 利 尔	jia mei li er	j i a m e i l i e r
m o r g a n s t e r n	摩 根 斯 特 恩	mo gen si te en	m o g e n s i t e e n
p a l m e r	帕 尔 默	pa er mo	p a e r m o
m c n a m e e	麦 克 纳 米	mai ke na mi	m a i k e n a m i
y o n t z	扬 茨	yang ci	y a n g c i
m a l l e t t	马 利 特	ma li te	m a l i t e
f o g a r t y	福 格 蒂	fu ge di	f u g e d i
d u n h a m	邓 纳 姆	deng na mu	d e n g n a m u
b a r n a r d	巴 纳 德	ba na de	b a n a d e
r e u b e n s	鲁 本 斯	lu ben si	l u b e n s i
s c h o l e f i e l d	斯 科 菲 尔 德	si ke fei er de	s i k e f e i e r d e
h a d l o c k	哈 德 洛 克	ha de luo ke	h a d e l u o k e
p a g e t t	佩 吉 特	pei ji te	p e i j i t e
m e r l e t t i	梅 莱 蒂	mei lai di	m e i l a i d i
s t a n i f o r t h	斯 塔 尼 福 思	si ta ni fu si	s i t a n i f u s i
m a y l e	梅 尔	mei er	m e i e r
t r e m a n t e	特 里 曼 特	te li man te	t e l i m a n t e
r h u l m a n	鲁 尔 曼	lu er man	l u e r m a n
h o v e r	霍 弗	huo fu	h u o f u
k e r r i c h	克 里 奇	ke li qi	k e l i q i
b e a g l e	比 格 尔	bi ge er	b i g e e r
k i l l w i c k	斯 尔 威 克	si er wei ke	s i e r w e i k e
b e a c h c o m b e r	比 奇 科 默	bi qi ke mo	b i q i k e m o
l a f e v o r	拉 费 弗	la fei fu	l a f e i f u
l u s k	勒 斯 克	le si ke	l e s i k e
c a w s e	考 斯	kao si	k a o s i
b e e n e r s	比 纳 斯	bi na si	b i n a s i
m e y j e s	梅 斯	mei si	m e i s i
v a r i n a	瓦 里 纳	wa li na	w a l i n a
l i e b e n b e r g	利 本 伯 格	li ben bo ge	l i b e n b o g e
e s s e r y	埃 塞 里	ai sai li	a i s a i l i
s t e f a n s s o n	斯 蒂 芬 森	si di fen sen	s i d i f e n s e n
r o o d m a n	鲁 德 曼	lu de man	l u d e m a n
r a i l e y	雷 利	lei li	l e i l i
t h u r l b e c k	瑟 贝 克	se bei ke	s e b e i k e
g r i s e l d a	格 丽 塞 尔 达	ge li sai er da	g e l i s a i e r d a
d u n d o n	邓 登	deng deng	d e n g d e n g
b e r k e m e y e r	伯 克 迈 耶	bo ke mai ye	b o k e m a i y e
r a m b e r t	兰 伯 特	lan bo te	l a n b o t e
c r o n m i l l e r	克 朗 米 勒	ke lang mi le	k e l a n g m i l e
g r i b b l e	格 里 布 尔	ge li bu er	g e l i b u e r
m a k a y l a	玛 凯 拉	ma kai la	m a k a i l a
s e t t l e	塞 特 尔	sai te er	s a i t e e r
b o n o m i	博 诺 米	bo nuo mi	b o n u o m i
m a c l i n t o c k	麦 克 林 托 克	mai ke lin tuo ke	m a i k e l i n t u o k e
l u t e s	卢 茨	lu ci	l u c i
a r n o v e	阿 诺 夫	a nuo fu	a n u o f u
f a n s h a w	范 肖	fan xiao	f a n x i a o
s l i g h	斯 莱	si lai	s i l a i
e r h a r t	埃 哈 特	ai ha te	a i h a t e
h e w l i n g	休 林	xiu lin	x i u l i n
s h o w e r s	肖 沃 斯	xiao wo si	x i a o w o s i
l a n d	兰 德	lan de	l a n d e
c o u n t r y m a n	康 特 里 曼	kang te li man	k a n g t e l i m a n
s t y m i e s t	斯 蒂 米 斯 特	si di mi si te	s i d i m i s i t e
g o o d r i c k	古 德 里 克	gu de li ke	g u d e l i k e
h o u c h i n	霍 钦	huo qin	h u o q i n
c a l d e r w o o d	考 尔 德 伍 德	kao er de wu de	k a o e r d e w u d e
c h i l w o r t h	奇 尔 沃 思	qi er wo si	q i e r w o s i
b o u r d o n	鲍 登	bao deng	b a o d e n g
m a y o r a s	马 约 拉 斯	ma yue la si	m a y u e l a s i
b e r h a r d	伯 哈 德	bo ha de	b o h a d e
m u c c i n i	穆 奇 尼	mu qi ni	m u q i n i
o d a n i e l	奥 丹 尼 尔	ao dan ni er	a o d a n n i e r
s w e e r s	斯 威 尔 斯	si wei er si	s i w e i e r s i
d e t h o m a s i s	德 托 马 西 斯	de tuo ma xi si	d e t u o m a x i s i
k o l t o n	科 尔 顿	ke er dun	k e e r d u n
d i e g u e z	迭 格 斯	die ge si	d i e g e s i
b u n k i e	邦 基	bang ji	b a n g j i
c o t e	科 特	ke te	k e t e
r o c k i n g h a m	罗 金 厄 姆	luo jin e mu	l u o j i n e m u
n o r b u r y	诺 伯 里	nuo bo li	n u o b o l i
b e n d i c k	本 迪 克	ben di ke	b e n d i k e
l a r k i n g	拉 金	la jin	l a j i n
d r a u s	德 劳 斯	de lao si	d e l a o s i
s e l l i n g e r	塞 林 杰	sai lin jie	s a i l i n j i e
b a r y s h n i k o v	巴 雷 什 尼 科 夫	ba lei shi ni ke fu	b a l e i s h i n i k e f u
b e r t h o l d	伯 特 霍 尔 德	bo te huo er de	b o t e h u o e r d e
h u m m e l l	赫 梅 尔	he mei er	h e m e i e r
k i e b	基 布	ji bu	j i b u
h o h m a n	霍 曼	huo man	h u o m a n
o a k e s	奥 克 斯	ao ke si	a o k e s i
a n k a	安 卡	an ka	a n k a
b e a u f a i t	博 费 特	bo fei te	b o f e i t e
s h r o e d e r	施 罗 德	shi luo de	s h i l u o d e
f a u l k s	福 克 斯	fu ke si	f u k e s i
m c c u n e	麦 丘 恩	mai qiu en	m a i q i u e n
e i s e n	艾 森	ai sen	a i s e n
p r o f i t t	普 罗 菲 特	pu luo fei te	p u l u o f e i t e
b a r a c h	贝 拉 克	bei la ke	b e i l a k e
b e d k e	贝 德 克	bei de ke	b e i d e k e
g o o d d i n g	古 丁	gu ding	g u d i n g
b i g a r t	比 加 特	bi jia te	b i j i a t e
t u r n i p s e e d	特 尼 普 西 德	te ni pu xi de	t e n i p u x i d e
g a u l l	高 尔	gao er	g a o e r
g r a b i l l	格 拉 比 尔	ge la bi er	g e l a b i e r
d o l b e a r	多 比 尔	duo bi er	d u o b i e r
g a u d i a n i	高 迪 亚 尼	gao di ya ni	g a o d i y a n i
q u i r k	夸 克	kua ke	k u a k e
w i l t s h i r e	威 尔 特 希 尔	wei er te xi er	w e i e r t e x i e r
m c c a l l i o n	麦 卡 利 恩	mai ka li en	m a i k a l i e n
p r i n s e p	普 林 塞 普	pu lin sai pu	p u l i n s a i p u
g u n k l e r	冈 克 勒	gang ke le	g a n g k e l e
h e l f a n d	赫 尔 方	he er fang	h e e r f a n g
t r u s s e l	特 拉 塞 尔	te la sai er	t e l a s a i e r
v e r h o v e k	弗 霍 韦 克	fu huo wei ke	f u h u o w e i k e
s m a l e	斯 梅 尔	si mei er	s i m e i e r
t y p l e r	泰 普 勒	tai pu le	t a i p u l e
b e c h h o f e r	贝 克 霍 弗	bei ke huo fu	b e i k e h u o f u
b e r n h o l z	伯 恩 霍 尔 兹	bo en huo er zi	b o e n h u o e r z i
k a h a n a m o k u	卡 哈 纳 莫 库	ka ha na mo ku	k a h a n a m o k u
c o n s t a n t i n o p l e	康 斯 坦 丁 诺 普 尔	kang si tan ding nuo pu er	k a n g s i t a n d i n g n u o p u e r
e n o f f	伊 诺 夫	yi nuo fu	y i n u o f u
h i g b y	希 格 比	xi ge bi	x i g e b i
a n c h o r e t t a	安 科 蕾 塔	an ke lei ta	a n k e l e i t a
e l s t o n	埃 尔 斯 顿	ai er si dun	a i e r s i d u n
w i l i m o v s k y	维 利 莫 夫 斯 基	wei li mo fu si ji	w e i l i m o f u s i j i
n i b b i d a r d	尼 比 达 德	ni bi da de	n i b i d a d e
g u a r d o	瓜 尔 多	gua er duo	g u a e r d u o
c a m u s	卡 默 斯	ka mo si	k a m o s i
s t a l l a r d	斯 托 拉 德	si tuo la de	s i t u o l a d e
s u z a n	苏 珊	su shan	s u s h a n
l a u e	劳 厄	lao e	l a o e
k e y h o	基 奥	ji ao	j i a o
p a u l e t	保 莉 特	bao li te	b a o l i t e
w e i s b e c k e r	韦 斯 贝 克	wei si bei ke	w e i s i b e i k e
l a u b e n g a y e r	劳 本 盖 耶	lao ben gai ye	l a o b e n g a i y e
m u l l a n e y	马 拉 尼	ma la ni	m a l a n i
l e n z	伦 兹	lun zi	l u n z i
r u b y	鲁 比	lu bi	l u b i
r o l l a s o n	罗 拉 森	luo la sen	l u o l a s e n
p r i t c h e t t	普 里 切 特	pu li qie te	p u l i q i e t e
h o u t e n	霍 滕	huo teng	h u o t e n g
w v e n d t h	文 特 思	wen te si	w e n t e s i
b e d d o m e	贝 多 姆	bei duo mu	b e i d u o m u
